"--Select--","--ምረጥ--"
"Add New Option","አዲስ ምርጫ አክል"
"Add Selection","የተመረጠውን አክል"
"As low as","እንደዚህ ያነሰ"
"Bundle Items","እስር ንጥሎች"
"Bundle Product","እስር ምርት"
"Buy %1$s with %2$s discount each","እያንዳንዱን %1$s በ %2$s ቅናሽ ይግዙ"
"Checkbox","አመልካች ሳጥን"
"Choose a selection...","ምርጫ ይምረጡ..."
"Close","ዝጋ"
"Default","ነባሪ"
"Default Qty","ነባሪ ብዛት"
"Default Title","ነባሪ ርዕስ"
"Drop-down","ተቆልቋይ"
"Dynamic","ተለዋዋጭ"
"Excl. Tax","ቀረጥ አታካት"
"Fixed","ውሱን"
"From","ከ"
"From:","ከ፦"
"Gift Message","የስጦታ መልእክት"
"Incl. Tax","ቀረጥ ያካትታል"
"Input Type","የግቤት አይነት"
"Is Required","ያስፈልጋል"
"Message:","መልዕክት፦"
"Multiple Select","በብዛት መምረጥ"
"N/A","የለም"
"No options of this product are available.","የዚህ ምርት አማራጮች አይገኙም።"
"None","ምንም"
"Percent","መቶኛ"
"Percent Discount","የቅናሽ መቶኛ"
"Please enter search conditions to view products.","እባክዎ ምርቶችን ለማየት የፍለጋ ሁኔታዎችን ያስገቡ።"
"Please select options for product.","እባክዎ ለምርት አማራጮች ይምረጡ።"
"Please select products to add","እባክዎ የሚታከሉ ምርቶች ይምረጡ"
"Please specify product option(s)","እባክዎ የምርት አማራጭ(ጮች)ን ይጥቀሱ"
"Position","አቀማመጥ"
"Price Range","የዋጋ ክልል"
"Price Type","የዋጋ አይነት"
"Price as configured","ዋጋ እንደተዋቀረው"
"Qty:","ብዛት፦"
"Radio Buttons","ራዲዮ አዝራሮች"
"Required options not selected.","አስፈላጊ አማራጮች አልተመረጡም።"
"Selected required options not available.","የተመረጡት አስፈላጊ አማራጮች አይገኙም።"
"Separately","ተለያይተው"
"Ship Bundle Items","እስር ንጥሎችን አጓጉዝ"
"Shipment","ማጓጓዣ"
"Store View Title","የሱቅ እይታ ርዕስ"
"There is no defined renderer for ""%s"" option type","ለ«%s» የአማራጭ አይነት የተገለጸ ሰሪ የለም"
"This product is also part of bundle(s)","ይህ ምርት የእስር(ሮች) ክፍል ነው"
"To","ለ"
"To:","ለ፦"
"Together","በአንድነት"
"User Defined Qty","በተጠቃሚ የተገለጸ ብዛት"
