"%s is not correct comparsion method.","%s ትክክለኛ የሆነ የማነጻጸሪያ ዘዴ አይደለም።"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","እነዚህ ቅንብሮች ለሙሉ ጋሪው ሳይሆን ለጋሪ መስመር ንጥሎች ብቻ ተግባራዊ እንደሚሆኑ <strong>እባክዎ ልብ ይበሉ</strong>።"
"Allow Qty Below 0","ብዛት ከ0 በታች ፍቀድ"
"Allow Qty Below 0 and Notify Customer","ብዛት ከ0 በታች ፍቀድ እና ለደንበኛ አሳውቅ"
"Backorders","ተመላሽ ትእዛዞች  "
"By Fixed value","በውስን እሴት"
"By Percentage","በመቶኛ"
"Can not specify product identifier for order item","ለትእዛዝ ንጥል የምርት መለያውን ማመልከት አልተቻለም"
"Catalog Inventory","የካታሎግ የዕቃ ዝርዝር"
"Decrease Stock When Order is Placed","ትእዛዝ ሲታዘዝ ክምችት ቀንስ"
"In Stock","በማከማቻ ውስጥ ይገኛል"
"Inventory","የዕቃ ዝርዝር"
"Inventory API","የዕቃ ዝርዝር API"
"Inventory Section","የዕቃ ዝርዝር ክፍል"
"Manage Stock","ማከማቻ አቀናብር"
"Maximum Qty Allowed in Shopping Cart","በግዢ ጋሪ ውስጥ የሚፈቀደው ከፍተኛው ብዛት"
"Minimum Qty Allowed in Shopping Cart","በግዢ ጋሪ ውስጥ የሚፈቀደው ዝቅተኛው ብዛት"
"No Backorders","ተመላሽ ትእዛዞች የሉም"
"Notify for Quantity Below","ከዚህ በታች ለሆነ ብዛት አሳውቅ"
"Out of Stock","በማከማቻ ውስጥ አይገኝም"
"Product Stock Options","የምርት ክምችት አማራጮች"
"Qty for Items' Status to become Out of Stock","በክምችት ውስጥ የማይገኝ እንዲሆን የንጥሎች ብዛት ሁኔታ"
"Retrieve stock data","የክምችት ውሂብ ፈልገህ አውጣ"
"Retrieve stock data by product ids","የክምችት ውሂብ በምርት መታወቂያዎች ፈልገህ አውጣ"
"Rule price","የዋጋ ደንብ"
"Set Items' Status to be In Stock When Order is Cancelled","ትእዛዝ ሲሰረዝ የንጥሉን ሁኔታ ወደ በክምችት ውስጥ እንዲገኝ አዘጋጀው"
"Some of the products are currently out of stock","አንዳንድ ምርቶች በማከማቻ ውስጥ አይገኙም"
"Some of the products can not be ordered in requested quantity","አንዳንድ ምርቶች በተጠየቀው ብዛት ሊታዘዙ አይችሉም"
"Some of the products cannot be ordered in the requested quantity","አንዳንድ ምርቶች በተጠየቀው ብዛት ሊታዘዙ አይችሉም"
"Stock Options","የክምችት አማራጮች"
"Stock item for Product in option is not valid","የክምችት ንጥል ለምርት በአማራጭ ውስጥ ልክ ያልሆነ ነው"
"Stock item for Product is not valid","የክምችት ንጥል ለምርት ልክ ያልሆነ ነው"
"The maximum quantity allowed for purchase is %s.","ለመግዛት የሚፈቀደው ከፍተኛው ብዛት %s ነው።"
"The minimum quantity allowed for purchase is %s.","ለመግዛት የሚፈቀደው ዝቅተኛው ብዛት %s ነው።"
"The requested quantity for ""%s"" is not available.","የተጠየቀው ብዛት «%s» አይገኝም።"
"The requested quantity is not available.","የተጠየቀው ብዛት አይገኝም።"
"This product is currently out of stock.","ይህ ምርት በአሁኑ ጊዜ በማከማቻ ውስጥ አይገኝም።"
"To Fixed Value","ወደ ውስን እሴት"
"To Percentage","ወደ መቶኛ"
"Update","አዘምን"
"Update product stock data","የምርት ክምችት ውሂብ አዘምን"
"Update the Product","ምርቱን አዘምን"
