"Cron (Scheduled Tasks) - all the times are in minutes","Cron (መርሃግብር የተያዘላቸው ተግባራት) - ሁሉም ጊዜያት በደቂቃዎች ናቸው"
"Daily","በየቀኑ"
"Failure history lifetime","የአለመሳካት ታሪክ የጊዜ ቆይታ"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","cron በሚሄድበት ጊዜ ለመነጩ ትክክለኛ ዩአርኤሎች እባክዎ በድር ላይ > ደህነታቸው የተጠበቀ እና ደህንነታቸው ያልጠበቀ ቤዝ ዩአርኤሎች በግልጽ መዘጋጀታቸውን እርግጠኛ ይሁኑ።"
"Generate schedules every","መርሃግብሮችን አመንጭ በየ"
"History cleanup every","የታሪክ ማጽዳት በየ"
"Invalid callback: %s::%s does not exist","ልክ ያልሆነ መልሶ መጥራት፦ %s::%s የለም"
"Invalid model/method definition, expecting ""model/class::method"".","ልክ ያልሆነ ሞዴል/ዘዴ ገለጻ፣ «model/class::method» ይጠብቃል።"
"Missed if not run within","ያመልጣል በዚህ ጊዜ ውስጥ ካልሄደ"
"Monthly","በየወሩ"
"No callbacks found","ምንም የመልሶ ጥሪዎች የሉም"
"Schedule ahead for","መርሃግብር ያዝ ለወደፊት "
"Success history lifetime","የስኬት ታሪክ የጊዜ ቆይታ"
"Too late for the schedule","ለመርሃግብሩ በጣም ዝግይቷል"
"Unable to save Cron expression","Cron መግለጫ ማስቀመጥ አልተቻለም"
"Unknown error","ያልታወቀ ስህተት"
"Weekly","በየሳምንቱ"
