"* Select shipping method","* የማጓጓዣ ዘዴ ይምረጡ"
"AVS Status: %s","AVS ሁኔታ፦ %s"
"Add","አክል"
"Add Shipping Method","የማጓጓዣ ዘዴ አክል"
"Allowed Methods","የተፈቀዱ ዘዴዎች"
"Amount: %s","መጠን፦ %s"
"Auto-generated from GoogleCheckout Charge","ከGoogleCheckout ክፍያ በራስ-ሰር የመነጨ"
"Buyer account age: %s days","የሻጭ መለያ እድሜ፦ %s ቀናት"
"CC Partial: xxxx-%s","CC በከፊል፦ xxxx-%s"
"CID Status: %s","CID ሁኔታ፦ %s"
"Carrier Calculated Methods","የአጓጓዥ የተሰሉ ዘዴዎች"
"Cart Discount","የጋሪ ቅናሽ"
"Checkout Image Style","የCheckout ምስል ቅጥ"
"Continue Shopping URL","የግዢ ዩአርኤል ቀጥል"
"Debug","አርም"
"Default Package Height (in)","ነባሪ የጥቅል ቁመት (ኢንች)"
"Default Package Length (in)","ነባሪ የጥቅል ርዝመት (ኢንች)"
"Default Package Width (in)","ነባሪ የጥቅል ስፋት (ኢንች)"
"Default price for methods","ነባሪ ዋጋ ለዘዴዎች"
"Default price:","ነባሪ ዋጋ፦"
"Delivery Address Category","የማድረሻ አድራሻ ምድብ"
"Delivery schedule","የማድረሻ መርሃግብር"
"Disable Default Tax Tables","ነባሪ የቀረጥ ሰንጠረዦች አሰናክል"
"Eligible for protection: %s","ለጥበቃ መስፈርቱን የሚያሟላ፦ %s"
"Enable","አንቃ"
"Enable Carrier Calculated","የአጓጓዥ ስሌትን አንቃ"
"Enable Digital Delivery","የዲጂታል ማድረሻ አንቃ"
"Enable Flat Rate","ዝርግ ተመን አንቃ"
"Enable Merchant Calculated","የነጋዴ ስሌትን አንቃ"
"Enable this if your checkout request is too big and being cut off.","የcheckout ጥያቄዎ በጣም ትልቅ ከሆነና ከተቋረጠ ይህን ያንቁ።"
"Expiration: %s","ማብቂያ ጊዜ፦ %s"
"Financial: %s -> %s","የገንዘብ፦ %s -> %s"
"Free Shipping","ነፃ ማጓጓዣ"
"Fulfillment: %s -> %s","ስኬት፦ %s -> %s"
"Google API","Google API"
"Google Authorization:","Google ፍቃድ፦"
"Google Buyer Id: %s","የGoogle ገዢ መታወቂያ፦ %s"
"Google Charge:","Google ወጪ፦"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout ማጓጓዝ - በአጓጓዥ የተሰላ"
"Google Checkout Shipping - Digital Delivery","Google Checkout ማጓጓዝ - ዲጂታል ማድረሻ"
"Google Checkout Shipping - Flat Rate","Google Checkout ማጓጓዝ - ዝርግ ተመን"
"Google Checkout Shipping - Merchant Calculated","Google Checkout ማጓጓዝ - በነጋዴ የተሰል"
"Google Checkout: %s","Google Checkout፦ %s"
"Google Order Number: %s","የGoogle ትእዛዝ ቁጥር፦ %s"
"Google Refund:","Google ተመላሽ ገንዘብ፦"
"Google Risk Information:","Google የአደጋ መረጃ፦"
"Google order status change:","Google የትእዛዝ ሁኔታ ለውጥ፦"
"Hide Cart Contents During Checkout","ከፍሎ በመውጣት ጊዜ የጋሪ ይዘቶችን ደብቅ"
"IP Address: %s","አይፒ አድራሻ፦ %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","ከነቃ፣ በግዢ ጋሪ ውስጥ Google Checkout አዝራር ጠቅ ከተደረገ በኋላ የጋሪ ይዘቶች ይደበቃሉ፣ እና «ጋሪ አርትዕ» አገናኝ ነቅቶ ከሆነ እነበሩበት ይመለሳሉ።"
"Invoice auto-created: %s","ደረሰኝ በራስ-ሰር የተፈጠረ፦%s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","የግብይት ኢሜይሎችን የመቀበል ፍቃድ የገዢው ፍላጎት ነው፦ %s"
"Large - %s","ትልቅ - %s"
"Latest Charge: %s","የቅርብ ጊዜ ማስከፈል፦ %s"
"Latest Refund: %s","በቅርብ ጊዜ የተመለሰው፦ %s"
"Location","አካባቢ"
"Medium - %s","መካከለኛ - %s"
"Merchant ID","የነጋዴ መታወቂያ"
"Merchant Key","የነጋዴ ቁልፍ"
"Method","ዘዴ"
"New order status","አዲስ የትእዛዝ ሁኔታ"
"No","አይ"
"Optional, leave empty for home page.","አማራጭ፣ ለመነሻ ገጽ ባዶ ተው።"
"Rate 1 Amount","ተመን 1 መጠን"
"Rate 1 Ship To Applicable Countries","ተመን 1 ወደ ተወሰኑ አገሮች አገሮች አጓጉዝ"
"Rate 1 Ship to Specific Countries","ተመን 1 ወደ ተወሰኑ አገሮች አጓጉዝ"
"Rate 1 Title","ተመን 1 ርዕስ"
"Rate 2 Amount","ተመን 2 መጠን"
"Rate 2 Ship To Applicable Countries","ተመን 2 ወደ ተወሰኑ አገሮች አገሮች አጓጉዝ"
"Rate 2 Ship to Specific Countries","ተመን 2 ወደ ተወሰኑ አገሮች አጓጉዝ"
"Rate 2 Title","ተመን 2 ርዕስ"
"Rate 3 Amount","ተመን 3 መጠን"
"Rate 3 Ship To Applicable Countries","ተመን 3 ወደ ተወሰኑ አገሮች አገሮች አጓጉዝ"
"Rate 3 Ship to Specific Countries","ተመን 3 ወደ ተወሰኑ አገሮች አጓጉዝ"
"Rate 3 Title","ተመን 3 ርዕስ"
"Remove","አስወግድ"
"Required for live Google Checkout transactions.","ለቀጥተኛ Google Checkout የገንዘብ ዝውውር ያስፈልጋል።"
"Sandbox","ሳንድቦክስ"
"Secure Callback URL","ደህንነቱ የተጠበቀ መልሶ የመጥሪያ ዩአርኤል"
"Small - %s","ትንሽ - %s"
"Total Charged: %s","አጠቃላይ የሚያስከፍለው፦ %s"
"Total Refunded: %s","አጠቃላይ የተመለሰው፦ %s"
"Transparent","ግልጽ"
"United Kingdom","ዩናይትድ ኪንግደም"
"United States","ዩናይትድ ስቴትስ"
"Virtual item to reflect discount total","ምናባዊ ንጥል ቅናሽ ድምሩን ለማንጸባረቅ"
"White Background","ነጭ ዳራ"
"You will be redirected to GoogleCheckout in a few seconds.","በጥቂት ሰኮንዶች ውስጥ ወደ GoogleCheckout ይዛወራሉ።"
