"%s Item(s)","%s ንጥል (ሎች)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento የሙከራ ጊዜ ሱቅ። መብቶቹ በህግ የተጠበቁ ናቸው።"
"(Shift-)Click or drag to change value","እሴት ለመለወጥ (Shift-)ጠቅ ያድርጉ ወይም ይጎትቱ"
"(ver. %s)","(ስሪት %s)"
"- Click on any of the time parts to increase it","- ለመጨመር ከሰዓት አካሎቹ አንዱን ጠቅ ያድርጉ"
"- Hold mouse button on any of the above buttons for faster selection.","- በፍጥነት ለመምረጥ ከላይ ካሉት አዝራሮች አንዱን ትጭነው ይያዙ።"
"- Use the %s buttons to select month","- ወር ለመምረጥ %s አዝራሮችን ይጠቀሙ"
"- Use the %s, %s buttons to select year","- ዓመት ለመምረጥ %s፣ %s አዝራሮችን ይጠቀሙ"
"- or Shift-click to decrease it","- ወይም ለመቀነስ Shift-ጠቅ ያድርጉ"
"- or click and drag for faster selection.","- ወይም ለፍጥነት ለመምረጥ ጠቅ አድርገው ይጎትቱ።"
"About the calendar","ስለ ቀን መቁጠሪያ"
"Click <a href=""%s"">here</a> if nothing has happened","ምንም ነገር ካልተፈጠረ <a href="%s">እዚህ</a> ጠቅ ያድርጉ"
"Close","ዝጋ"
"Close Window","መስኮት ዝጋ"
"DHTML Date/Time Selector","DHTML ቀን/ሰዓት መምረጫ"
"Date selection:","የቀን ምርጫ፦"
"Default Description","ነባሪ መግለጫ"
"Default welcome msg!","ነባሪ የእንኳን ደህና መጡ መልዕክት!"
"Display %s first","በመጀመሪያ %s አሳይ"
"Distributed under GNU LGPL. See %s for details.","በGNU LGPL ስር የተሰራጨ።  ለዝርዝር መረጃ %s ይመልከቱ።"
"Drag to move","ለማንቀሳቀስ ይጎትቱ"
"For latest version visit: %s","በጣም ለቅርብ ጊዜው ስሪት ጉብኝት፦ %s"
"Go Today","ዛሬ ይጀምሩ"
"Help Us to Keep Magento Healthy","የMagento ጤንነትን በመጠበቅ ያግዙን"
"Interface Language","የበይነገጽ ቋንቋ "
"Items %s to %s of %s total","ንጥሎች %s እስከ %s ከጠቅላላው %s "
"Next Page","ቀጣይ ገጽ"
"Next month (hold for menu)","ቀጣይ ወር (ለምናሌ ተጭነው ይቆዩ)"
"Next year (hold for menu)","ቀጣይ ዓመት (ለምናሌ ተጭነው ይቆዩ)"
"Page:","ገጽ፦"
"Prev. month (hold for menu)","ቀዳሚ ወር (ለምናሌ ተጭነው ይቆዩ)"
"Prev. year (hold for menu)","ቀዳሚ ዓመት (ለምናሌ ተጭነው ይቆዩ)"
"Previous Page","ቀዳሚ ገጽ"
"Redirecting...","በማዛወር ላይ..."
"Report All Bugs","ሁሉንም ሳንካዎች ሪፖርት አድርግ"
"Select Store","ሱቅ ምረጥ"
"Select date","ቀን ምረጥ"
"Show","አሳይ"
"Skip to Footer","ወደ ግርጌ ዝለል"
"Skip to Left Column","ወደ ግራ አምድ ዝለል"
"Skip to Main Content","ወደ ዋናው ይዘት ዝለል"
"Skip to Right Column","ወደ ቀኝ አምድ ዝለል"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","ይህ የሙከራ ጊዜ ሱቅ ነው። በዚህ ሱቅ የሚደረጉ ማናቸውም ትእዛዞች አይከበሩም ወይም አይሟሉም።"
"Time selection:","የሰዓት ምርጫ፦"
"Time:","ሰዓት፦"
"Welcome, %s!","እንኳን ደህና መጡ፣ %s!"
"You're currently on:","አሁን በዚህ ላይ ነዎት፦"
"Your Language","ቁንቋዎ"
"Your Language:","ቁንቋዎ፦"
"per page","በገጽ"
"Your Language:","ቁንቋዎ፦"
"(ver. %s)","(ስሪት %s)"
"Help Us to Keep Magento Healthy","የMagento ጤንነትን በመጠበቅ ያግዙን"
"Report All Bugs","ሁሉንም ሳንካዎች ሪፖርት አድርግ"
"Your Language","ቁንቋዎ"
