"Billing Information","የክፍያ አድራሻ"
"Change Payment Method","የክፍያ ዘዴ ለውጥ"
"Change Shipping Address","የማጓጓዣ አድራሻ ለውጥ"
"Edit Shopping Cart","የግዢ ጋሪ አርትእ"
"Email","ኢሜይል"
"Incl. Tax","ቀረጥ ያካትታል"
"Items in Your Shopping Cart","በግዢ ጋሪዎ ውስጥ ያሉ ንጥሎች"
"No shipping method required.","ምንም የማጓጓዣ ዘዴ አያስፈልግም።"
"PayPal Account","PayPal መለያ"
"PayPal Email","PayPal ኢሜይል"
"Payment Method","የክፍያ ዘዴ"
"Place an Order","ትእዛዝ ይዘዙ"
"Please select a shipping method...","እባክዎ የማጓጓዣ ዘዴ ይጥቀሱ..."
"Price","ዋጋ"
"Product Name","የምርት ስም"
"Qty","ብዛት"
"Review Order","ትእዛዝ ገምግም"
"Shipping Address","የማጓጓዣ አድራሻ"
"Shipping Information","የማጓጓዣ መረጃ"
"Shipping Method","የማጓጓዣ ዘዴ"
"Sorry, no quotes are available for this order at this time.","ይቅርታ፣ በዚህ ጊዜ ለዚህ ትእዛዝ ምንም ጥቅሶች አይገኙም።"
"Submitting order information...","የትእዛዝ መረጃ በማስገባት ላይ..."
"Subtotal","ንዑስ ድምር"
"Update Shipping Method","የማጓጓዣ ዘዴ አዘምን"
"You will be redirected to PayPal website when you place an order.","ትእዛዝ ሲያዙ ወደ PayPal የድር ጣቢያ ይዛወራሉ።"
"You will be redirected to Paypal in a few seconds.","በጥቂት ሰኮንዶች ውስጥ ወደ Paypal ይዛወራሉ።"
"Your billing address will be ignored and you will be redirected to PayPal website","የመክፈያ አድራሻዎ ይተውና ወደ PayPal የድር ጣቢያ ይዛወራሉ"
