"Alert Email Sender","የኢሜይል ላኪ ማሳወቂያ"
"Alert subscription was deleted successfully","የማሳወቂያ ምዝገባ በተሳካ ሁኔታ ተዘርዟል"
"Alert subscription was saved successfully","የማሳወቂያ ምዝገባ በተሳካ ሁኔታ ተቀምጧል"
"Allow alert when product comes back in stock","ምርቱ ወደ ማከማቻ ሲመጣ ማሳወቂያ ፍቀድ"
"Allow alert when product price changes","የምርት ዋጋ ለውጦች ሲኖሩ ማሳወቂያዎችን ፍቀድ"
"Click here not to receive alerts for this product","ለዚህ ምርት ማሳወቂያዎችን ላለመቀበል እዚህ ጠቅ ያድረጉ"
"Error Email Recipient","የኢሜይል ተቀባይ ስህተት"
"Error Email Sender","የኢሜይል ላኪ ስህተት"
"Error Email Template","የኢሜይል አብነት ስህተት"
"Frequency","ድግግሞሽ"
"Not enough parameters","በቂ ግቤቶች የሉም"
"Please try again later","እባክዎ ቆይተው እንደገና ይሞክሩ"
"Price alert Email Template","የዋጋ ማሳወቂያ የኢሜይል አብነት"
"Price:","ዋጋ፦"
"Product Alerts","የምርት ማሳወቂያዎች"
"Product Alerts Run Settings","የምርት ማሳወቂያዎች የማሄድ ቅንብሮች"
"Product alerts Cron error","የምርት ማሳወቂያዎች Cron ስህተት"
"Product not found","ምርት አልተገኘም"
"Product price alert","የምርት ዋጋ ማሳወቂያ"
"Product stock alert","የምርት ክምችት ማሳወቂያ"
"Sign up for price alert","ለዋጋ ማሳወቂያ ይመዝገቡ"
"Sign up to get notified when this product is back in stock","ይህ ምርት ወደ ማከማቻ ሲመጣ እንድናሳውቅዎት ይመዝገቡ"
"Special price:","ልዩ ዋጋ፦"
"Start Time","የሚጀምርበት ሰዓት"
"Stock alert Email Template","የማከማቻ ማሳወቂያ የኢሜይል አብነት"
"Unsubscribe from all price alerts","ከሁሉም የዋጋ ማሳወቂያዎች ከደንበኝነት ይውጡ"
"Unsubscribe from all stock alerts","ከሁሉም የክምችት ማሳወቂያዎች ከደንበኝነት ይውጡ"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","የሚከተሉት ምርቶች ወደ ማከማቻ ሲመጡ ማሳወቂያዎች እንዲደርስዎት ስለተመዘገቡ ይህ ማሳወቂያ ደርሶዎታል፦"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","የሚከተሉት ምርቶች ላይ የዋጋ ለውጦች ሲደረጉ ማሳወቂያዎች እንዲደርስዎት ስለተመዘገቡ ይህ ማሳወቂያ ደርሶዎታል፦"
"You will no longer receive price alerts for this product","ከእንግዲህ ለዚህ ምርት የዋጋ ማሳወቂያዎች አይደርስዎትም"
"You will no longer receive stock alerts","ከእንግዲህ የክምችት ማሳወቂያዎች አይደርስዎትም"
"You will no longer receive stock alerts for this product","ከእንግዲህ ለዚህ ምርት የክምችት ማሳወቂያዎች አይደርስዎትም"
