"%s - Discounts and Coupons","%s - ቅናሾች እና ኩፖኖች"
"%s - Special Discounts","%s - ልዩ ቅናሾች"
"%s RSS Feed","%s RSS ምግብ"
"%s has reached a quantity of %s.","%s ብዛት %s ላይ ደርሷል።"
"%s's Wishlist","የ%s የምኞት ዝርዝር"
"Cannot retrieve the wishlist","የምኞት ዝርዝር ማውጣት አልተቻለም"
"Catalog","ካታሎግ"
"Category Feeds","የምድብ ምግቦች"
"Comment: %s<br/>","አስተያየት፦ %s<br/>"
"Coupons/Discounts","ኩፖኖች/ቅናሾች"
"Current Status: %s<br/>","የአሁኑ ሁኔታ፦ %s<br/>"
"Customer Name: %s","የደንበኛ ስም፦ %s"
"Customer Order Status Notification","የደንበኛ ትእዛዝ ሁኔታ ማሳወቂያ"
"Details for %s #%s","ዝርዝሮች ስለ %s #%s"
"Discount ","ቅናሽ"
"Enable RSS","RSS አንቃ"
"Error in processing xml. %s","xml በማካሄድ ላይ ስህተት። %s"
"From:","ከ፦"
"Get Feed","ምግብ አግኝ"
"Gift Message","የስጦታ መልዕክት"
"Grand Total","ትልቅ ድምር"
"Low Stock Products","አነስተኛ ክምችት ያላቸው ምርቶች"
"Message:","መልዕክት፦"
"Miscellaneous Feeds","በያይነቱ ምግቦች"
"New Orders","አዲስ ትእዛዞች"
"New Products","አዲስ ምርቶች"
"New Products from %s","አዲስ ምርቶች ከ%s"
"Notified Date: %s<br/>","የሳወቀበት ቀን፦ %s<br/>"
"Order # %s Notification(s)","ትእዛዝ # %s ማሳወቂያ(ዎች)"
"Order #%s created at %s","ትእዛዝ #%s የተፈጠረው %s"
"Pending product review(s)","የምርት ግምገማ (ዎች) በመጠባበቅ ላይ"
"Product: ""%s"" review By: %s","ምርት፦ «%s» የተገመገመው በ፦ %s"
"Product: <a href=""%s"">%s</a> <br/>","ምርት፦ <a href="%s">%s</a> <br/>"
"Products tagged with %s","የ%s መለያ የተሰጣቸው ምርቶች"
"Purchased From: %s","የተገዛው ከ፦ %s"
"RSS","RSS"
"RSS Feeds","RSS ምግቦች"
"RSS testing","RSS ሙከራ"
"Review: %s <br/>","ግምገማ፦ %s <br/>"
"Rss Config","Rss ውቅር"
"Rss Feeds Section","Rss ምግቦች ክፍል"
"Shipping & Handling","ማጓጓዣ እና ማሸጊያ"
"Special Products","ልዩ ምርቶች"
"Special/Discount Products","ልዩ/ቅናሽ ምርቶች"
"Store: %s <br/>","ሱቅ፦ %s <br/>"
"Subtotal","ንዑስ ድምር"
"Summary of review: %s <br/>","የግምገማ ማጠቃለያ፦ %s <br/>"
"Tags Products","መለያ የተሰጣቸው ምርቶች"
"Tax","ቀረጥ"
"There are no Rss Feeds","ምንም Rss ምግቦች የሉም"
"There are no Rss Feeds.","ምንም Rss ምግቦች የሉም።"
"To:","ለ፦"
"Top Level Category","የከፍተኛ ደረጃ ምድብ"
"Total Products: %s","አጠቃላይ ምርቶች፦ %s"
"Total: %s<br/>","አጠቃላይ፦ %s<br/>"
"Wishlist","የምኞት ዝርዝር"
"click <a href=""%s"">here</a> to view the review","ግምገማውን ለማየት <a href="%s">እዚህ</a> ጠቅ ያድርጉ"
