"Actions","ተግባራት"
"Active","ንቁ"
"Add New Rule","አዲስ ደንብ አክል"
"Apply","ተግብር"
"Apply the rule only if the following conditions are met (leave blank for all products)","የሚከተሉትን ሁኔታዎች የተሟሉ ከሆነ ደንቡን ተግብር (ለሁሉም ምርቶች ባዶ ተው)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","የሚከተሉተን ሁኔታዎች ለሚያሟሉ የጋሪ ንጥሎች ብቻ ደንቡን ተግብር (ለሁሉም ንጥሎች ባዶ ተው)"
"Apply the rule to cart items matching the following conditions","የሚከተሉተን ሁኔታዎች ለሚያሟሉ የጋሪ ንጥሎች ደንቡን ተግብር"
"Apply to","ለዚህ ተግብር"
"Buy X get Y free (discount amount is Y)","Xን ይግዙ Y በነፃ ያግኙ (ቅናሽ መጠኑ Y ነው)"
"By Fixed Amount","በውስን መጠን"
"By Fixed value","በውስን እሴት"
"By Percentage","በመቶኛ"
"By Percentage of the original price","በመነሻ ዋጋው መቶኛ"
"Cart Attribute","የጋሪ አይነታ"
"Catalog","ካታሎግ"
"Conditions","ሁኔታዎች"
"Conditions combination","የሁኔታዎች ውህድ"
"Coupon Code","የኩፖን ኮድ"
"Coupon code","የኩፖን ኮድ"
"Customer Groups","የደንበኛ ቡድኖች"
"Customer is new buyer: %s","ደንበኛው አዲስ ገዢ ነው፦ %s"
"Customer registered: %s","ደንበኛ ተመዝግቧል፦ %s"
"Date Expire","ጊዜው የሚያበቃበት ቀን"
"Date Start","የሚጀምርበት ቀን"
"Delete Rule","ደንብ ሰርዝ"
"Description","መግለጫ"
"Description: %s","መግለጫ፦ %s"
"Discount Qty Step (Buy X)","የቅናሽ ብዛት ደረጃ (ግዛ X)"
"Discount amount","የቅናሽ መጠን"
"Edit Rule","ደንብ አርትእ"
"Edit Rule '%s'","ደንብ «%s» አርትእ"
"Expire at: %s","ጊዜው የሚያበቃው፦ %s"
"Fixed amount discount","ውስን መጠን ቅናሽ"
"Fixed amount discount for whole cart","የውስን መጠን ቅናሽ ለሙሉ ጋሪ "
"For matching items only","ለተዛማጅ ንጥሎች ብቻ"
"For shipment with matching items","ለማጓጓዣ ከተዛማጅ ንጥሎች"
"Free shipping","ነፃ ማጓጓዣ"
"From Date","ከዚህ ቀን"
"General Information","አጠቃላይ መረጃ"
"ID","መታወቂያ"
"Inactive","ቦዝኗል"
"Maximum Qty Discount is Applied to","የቅናሽ ከፍተኛው ብዛት  የሚተገበረው"
"NOT LOGGED IN","አልገቡም"
"Name: %s","ስም፦ %s!"
"New Rule","አዲስ ደንብ"
"No","አይ"
"Payment Method","የክፍያ ዘዴ"
"Percent of product price discount","የምርት ዋጋ ቅናሽ መቶኛ"
"Price in cart","በጋሪ ውስጥ ያለው ዋጋ"
"Priority","ቅድሚያ"
"Product attribute combination","የምርት አይናታ ውህድ"
"Products subselection","የምርቶች ንዑስ ምርጫ"
"Promotions","የማስታወቂያ ስራዎች"
"Public In RSS Feed","በRSS ምግብ ይፋዊ"
"Quantity in cart","በጋሪ ውስጥ ያለው ብዛት"
"Row total in cart","የረድፍ ድምር በጋሪ ውስጥ"
"Rule Information","የድንብ መረጃ"
"Rule Name","የደንብ ስም"
"Rule was successfully deleted","ደንብ በተሳካ ሁኔታ ተሰርዟል"
"Rule was successfully saved","ደንብ በተሳካ ሁኔታ ተቀምጧል"
"Save Rule","ደንብ አስቀምጥ"
"Shipping Country","የሚጓጓዝበት አገር"
"Shipping Method","የማጓጓዣ ዘዴ"
"Shipping Postcode","የማጓጓዣ የፖስታ ኮድ"
"Shipping Region","የማጓጓዣ ክልል"
"Shipping State/Province","የማጓጓዣ ክልል/ዞን"
"Shopping Cart Price Rule","የግዢ ጋሪ ዋጋ ደንብ"
"Shopping Cart Price Rules","የግዢ ጋሪ ዋጋ ደንቦች"
"Special price","ልዩ ዋጋ"
"Start at: %s","የሚጀምረው፦ %s"
"Status","ሁኔታ"
"Stop further rules processing","ተጨማሪ ደንቦችን ማካሄድ አቁም"
"Subtotal","ንዑስ ድምር"
"The page you are trying to save no longer exists","ለማስቀመጥ እየሞከሩት ያሉት ገጽ ከእንግዲህ አይኖርም"
"This rule no longer exists","ይህ ደንብ ከእንግዲህ አይኖርም"
"To Date","እስከ ቀን"
"To Fixed Amount","ወደ ውስን መጠን"
"To Fixed Value","ወደ ውስን እሴት"
"To Percentage","ወደ መቶኛ"
"To Percentage of the original price","ወደ መነሻ ዋጋው መቶኛ"
"Total Items Quantity","ጠቅላላው የንጥሎች ብዛት"
"Total Weight","ጠቅላላ ክብደት"
"Unable to find a page to delete","የሚሰረዘውን ገጽ ለማግኘት አልተቻለም"
"Update prices using the following information","የሚከተለውን መረጃ በመጠቀም ዋጋዎችን አዘምን"
"Update product's %s %s: %s","የምርቶችን %s %s አዘምን፦ %s"
"Update the Product","ምርቱን አዘምን"
"Uses per coupon","ጥቅሞች በኩፖን"
"Uses per customer","ጥቅሞች በደንበኛ"
"Yes","አዎ"
