"# of Uses","ጥቅም ላይ የዋለበት #"
"%s tag(s) have been accepted for moderation","%s መለያ(ዎች) ለቁጥጥር ተቀባይነት አግኝቷል(ተዋል)"
"Action","ተግባር"
"Actions","ተግባራት"
"Add New Tag","አዲስ መለያ አክል"
"Add Tags","መለያዎች አክል"
"Add Your Tags:","መለያዎች አክል፦"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"All Tags","ሁሉም የተሰጡ መለያዎች"
"Approved","ጸድቋል"
"Are you sure that you want to delete this tag?","እርግጠኛ ነዎት ይህን የተሰጠ መለያ መሰረዝ ይፈልጋሉ?"
"Are you sure you want to delete this tag?","እርግጠኛ ነዎት ይህን የተሰጠ መለያ መሰረዝ ይፈልጋሉ?"
"Are you sure you want to do this?","እርግጠኛ ነዎት ይህን ማድረግ ይፈልጋሉ?"
"Are you sure?","እርግጠኛ ነዎት?"
"Back","ተመለስ"
"Back to Tags List","ወደ መለያዎች ዝርዝር ተመለስ"
"Back to view Tag","ወደ መለያ አሳይ ተመለስ"
"Block Information","የጥቅል መረጃ"
"CSV","CSV"
"Change status","ሁኔታ ለውጥ"
"Click on a tag to view your corresponding products.","ተያያዥ ምርቶችን ለማየት መለያው ላይ ጠቅ ያድርጉ።"
"Country","አገር"
"Customer Since","ደንበኛ ከዚህ ጀምሮ"
"Customers","ደንበኞች"
"Customers Tagged '%s'","«%s» መለያ የተሰጣቸው ደንበኞች"
"Delete","ሰርዝ"
"Delete Tag","የተሰጠ መለያ ሰርዝ"
"Disabled","ተሰናክሏል"
"Edit Tag","የተሰጠ መለያ አርትእ"
"Edit Tag '%s'","የተሰጠ መለያ አርትእ «%s»"
"Email","ኢሜይል"
"First Name","የመጀመሪያ ስም"
"General Information","አጠቃላይ መረጃ"
"Grid","ፍርግርግ"
"ID","መታወቂያ"
"Last Name","የአያት ስም"
"List","ዝርዝር"
"My Recent Tags","የእኔ የተሰጡ መለያዎች"
"My Tags","የእኔ የተሰጡ መለያዎች"
"Name","ስም"
"New Tag","አዲስ መለያ"
"No matches found.","ምንም ተዛማጆች አልተገኙም።"
"Other people marked this product with these tags:","ሌሎች ሰዎች ይህን ምርት በእነዚህ መለያዎች አመልክተዋቸዋል፦"
"Pending","በመጠባበቅ ላይ"
"Pending Tags","በመጠባበቅ ላይ የተሰጡ መለያዎች"
"Popular","በጣም ታዋቂ"
"Popular Tags","በጣም ታዋቂ መለያዎች"
"Popularity","ታዋቂነት"
"Price","ዋጋ"
"Product Name","የምርት ስም"
"Product SKU","የምርት SKU"
"Product Tags","የምርት መለያዎች"
"Products","ምርቶች"
"Products Tagged with '%s'","«%s» መለያ የተሰጣቸው ምርቶች"
"Products tagged with '%s'","«%s» መለያ የተሰጣቸው ምርቶች"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","«%s» መለያ የተሰጣቸው ምርቶች (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","የተሰጠ መለያ አስቀምጥ"
"Search Results for '%s' (<a href='%s'>RSS</a>)","የፍለጋ ውጤቶች ስለ «%s» (<a href='%s'>RSS</a>)"
"Search Terms","የፍለጋ ቃላት"
"Status","ሁኔታ"
"Tag","መለያ"
"Tag ""%s"" has already been added to the product","መለያ «%s» አስቀድሞ ወደ ምርቱ ታክሏል"
"Tag Information","የመለያ መረጃ"
"Tag Name","የመለያ ስም"
"Tag Name: %s","የመለያ ስም፦ %s"
"Tag can't be empty.","መለያ ባዶ መሆን አይችልም።"
"Tagged in","መለያ የተሰጠው"
"Tags","የተሰጡ መለያዎች"
"Tags Aren't Available","የተሰጡ መለያዎች የሉም"
"Tags:","የተሰጡ መለያዎች፦"
"Telephone","ስልክ"
"Thank you. Your tag has been accepted for moderation.","እናመሰግናለን። መለያዎ ለቁጥጥር ተቀባይነት አግኝቷል።"
"Unable to find any products tagged with '%s' in the current store","በአሁኑ ሱቅ ውስጥ «%s» መለያ የተሰጣቸው ምርቶች ማግኘት አልተቻለም።"
"Unable to remove tag. Please, try again later.","መለያውን ማስወገድ አልተቻለም። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Unable to save tag(s)","መለያ(ዎች) ማስቀመጥ አልተቻለም "
"Unable to save your tag. Please, try again later.","የሰጡትን መለያ ማስቀመጥ አልተቻለም። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Use spaces to separate tags. Use single quotes (') for phrases.","መለያዎችን ለመለያየት ክፍት ቦታን ይጠቀሙ። ለሃረጎች ነጠላ የጥቅስ ምልክትን (') ይጠቀሙ።"
"Uses","ጥቅሞች"
"View All","ሁሉንም አሳይ"
"View All Tags","ሁሉንም መለያዎች አሳይ"
"View Customers","ደንበኞች አሳይ"
"View Products","ምርቶች አሳይ"
"Visible In","የሚታየው"
"XML","XML"
"You have not tagged any products yet.","እስካሁን ለምንም ምርቶች መለያ አልሰጡም።"
"Your tag was successfully deleted","የሰጡት መለያ በተሳካ ሁኔታ ተሰርዟል"
"Your tag was successfully saved","የሰጡት መለያ በተሳካ ሁኔታ ተቀምጧል"
"ZIP/Post Code","ዚፕ/የፖስታ ኮድ"
"You have not tagged any products yet.","እስካሁን ለምንም ምርቶች መለያ አልሰጡም።"
