"All Websites","ሁሉም ድረ-ገጾች"
"Apply Percent Discounts To FPT","FPT ላይ የመቶኛ ቅናሾችን ተግብር"
"Apply Tax To FPT","FPT ላይ ቀረጥ ተግብር"
"Display Prices In Emails","ዋጋዎችን በኢሜይሎች ላይ አሳይ"
"Display Prices In Product Lists","ዋጋዎችን በምርት ዝርዝሮች ላይ አሳይ"
"Display Prices In Sales Modules","ዋጋዎችን በሽያጭ ሞዱሎች ላይ አሳይ"
"Display Prices On Product View Page","ዋጋዎችን በምርት ማሳያ ገጽ ላይ አሳይ"
"Enable FPT","FPT አንቃ"
"Excluding FPT","FPT ሳያካትት"
"Excluding FPT, FPT description, final price","FPT፣ FPT መግለጫ፣ የመጨረሻ ዋጋ ሳያካትት"
"Fixed Product Tax","ውሱን የምርት ቀረጥ"
"Fixed Product Taxes","ውሱን የምርት ቀረጦች"
"Include FPT In Subtotal","በንዑስ ድምር ውስጥ FPT አካት"
"Including FPT and FPT description [excl. FPT VAT]","FPT እና FPT መግለጫ ጨምሮ [FPT ተ.እ.ታ አያካትታል]"
"Including FPT and FPT description [incl. FPT VAT]","FPT እና FPT መግለጫ ጨምሮ [FPT ተ.እ.ታ ያካትታል]"
"Including FPT only","FPT ብቻ አካቶ"
"Total","ጠቅላላ"
"Total incl. tax","ጠቅላላ ቀረጥ አካቶ"
